Area code,Area name,Region,Rural Urban Classification,Population,Aged 4 years and under,Aged 5 to 14 years,Aged 15 to 19 years,Aged 20 to 34,Aged 35 to 54,Aged 55 to 64,Aged 65+,GDHI (£m),"GP Surgeries per 100,000 people","Doctors per 100,000 people",Very good health,Good health,Fair health,Bad health,Very bad health,Longitude,Latitude
E07000081,Gloucester,South West,Urban,132500,7459,16501,7630,27172,34944,16592,22118,72.57,12.5934321547362,119.25,61882,46736,17259,5172,1367,-2.24,51.8493
E07000082,Stroud,South West,Urban,121100,5643,13913,6286,17625,31544,17864,28228,71.95,12.0443231090413,108.99,58893,42058,15125,4014,1012,-2.2952,51.7285
E07000083,Tewkesbury,South West,Rural,94900,5314,11260,4505,15553,24301,12840,21114,59.79,8.08930593755056,85.41,47236,32541,11385,2956,766,-2.0871,51.9457
E07000084,Basingstoke and Deane,South East,Urban,185200,10555,22774,9089,34879,52508,23335,32012,128.55,9.46382191190233,166.68,92794,64764,20776,5419,1404,-1.2011,51.2734
E07000085,East Hampshire,South East,Rural,125700,6007,14443,6769,18354,32525,18581,29060,68.91,14.0143257552164,113.13,63828,43139,14273,3599,905,-0.955,51.0746
E07000086,Eastleigh,South East,Urban,136400,7591,16946,6910,24250,36665,17449,26629,88.99,9.22312876906704,122.76,67981,47400,15896,4088,1078,-1.3265,50.9378
E07000087,Fareham,South East,Urban,114500,5158,12555,5593,17477,28767,16861,28100,69.67,10.5120231264509,103.05,55185,40519,14190,3698,921,-1.2221,50.8531
E07000088,Gosport,South East,Urban,81900,4241,9604,4211,14325,20602,11459,17513,51.29,10.9243187473448,73.71,35504,29829,12134,3587,898,-1.1609,50.805
E07000089,Hart,South East,Urban,99400,5159,12685,5702,15335,27959,12994,19574,73.99,8.86332749010262,89.46,54555,32704,9344,2177,628,-0.8975,51.2849
E07000090,Havant,South East,Urban,124200,6126,13889,6243,20213,29497,18024,30218,71.59,11.9348832768416,111.78,55028,44185,18023,5437,1535,-0.9965,50.8675
E07000091,New Forest,South East,Urban,175800,7235,18038,8265,23261,40524,26817,51645,111.3,12.5429024276218,158.22,81075,62425,23866,6534,1885,-1.6313,50.8599
E07000092,Rushmoor,South East,Urban,99800,6196,11650,5073,21991,28097,11620,15129,67.73,11.6609009989505,89.82,49428,34814,11769,2965,780,-0.7674,51.2734
E07000093,Test Valley,South East,Urban,130500,6940,15407,6351,21298,35019,17806,27671,82.54,9.66823093685158,117.45,65696,44842,14925,3958,1071,-1.5107,51.1286
E07000094,Winchester,South East,Rural,127500,6043,15074,9213,21327,32584,16624,26580,80.83,7.55058894593778,114.75,67850,41989,13236,3466,902,-1.2212,51.0283
E07000095,Broxbourne,East,Urban,99000,5945,12451,5486,18281,27387,12218,17240,67.44,12.9945422922373,89.1,49630,33422,11621,3354,980,-0.0475,51.7251
E07000096,Dacorum,East,Urban,155100,9581,19897,8039,27078,43709,19811,26966,97.39,12.0384978489105,139.59,80604,51271,17171,4784,1251,-0.5409,51.7782
E07000098,Hertsmere,East,Urban,107800,6297,13946,6111,18357,30522,13455,19139,72.47,11.0098813685283,97.02,57652,34388,11602,3205,981,-0.281,51.6772
E07000099,North Hertfordshire,East,Urban,133200,7469,16506,6655,22145,37415,17190,25831,86.99,10.324788341839,119.88,67385,45317,15363,4089,1056,-0.1925,51.9592
E07000102,Three Rivers,East,Urban,93800,5120,12430,5338,14707,27043,12165,16967,64.89,12.6725312325093,84.42,50330,30357,9788,2586,710,-0.4606,51.6609
E07000103,Watford,East,Urban,102300,6528,13547,5541,21848,31423,10468,12888,66.32,13.4363453140746,92.07,53559,34277,10601,2955,854,-0.4033,51.6684
E07000105,Ashford,South East,Urban,132700,7608,16875,7306,23278,34943,16740,25997,76.02,10.1241656602764,119.43,64334,45779,16551,4748,1335,0.8114,51.1253
E07000106,Canterbury,South East,Urban,157400,6823,16107,12600,32867,35438,19345,34250,81.9,11.8795290704581,141.66,74034,54597,20762,6224,1812,1.1047,51.2809
E07000107,Dartford,South East,Urban,116800,8282,16299,6228,23413,33865,12628,16038,83.38,12.4276091765466,105.12,61128,38680,12556,3390,999,0.2523,51.4299
E07000108,Dover,South East,Urban,116400,5669,13273,5969,18831,27818,16950,27899,70.76,13.4917489522814,104.76,51455,40711,17036,5611,1597,1.2873,51.2108
